Rainfall (mm),River Level (m),Soil Moisture (%),Humidity (%),Temperature (°C),Wind Speed (km/h),Flood
82.4,3.29,37.7,63.8,15.5,12.4,0
78.9,4.33,56.2,65.3,16.7,16.9,0
33.8,2.05,33.8,75.0,20.1,9.3,0
83.1,1.23,46.5,54.6,33.2,14.1,0
36.3,3.43,28.8,26.6,21.2,9.4,0
10.3,1.84,45.7,54.2,19.8,13.6,0
42.4,4.86,48.9,63.0,24.4,11.7,0
16.5,0.0,40.2,47.6,24.0,13.5,0
35.2,1.83,15.1,64.5,24.2,16.1,0
48.7,3.04,88.9,99.1,18.3,16.7,0
22.4,1.65,57.6,63.9,25.5,6.9,0
74.9,4.8,37.5,41.9,18.9,16.2,0
35.9,3.01,57.0,67.7,18.2,7.1,0
16.0,1.68,65.9,68.2,31.9,24.5,0
22.8,3.06,59.4,64.3,23.1,1.8,0
54.3,0.56,64.2,44.2,26.5,14.4,0
40.9,3.48,70.7,75.9,14.6,8.4,0
62.2,4.68,33.8,100.0,26.7,14.0,0
54.6,2.47,43.6,84.1,24.9,9.2,0
20.9,2.69,51.6,81.7,23.6,19.4,0
29.8,1.0,58.1,43.3,19.0,14.4,0
91.4,1.56,56.2,56.9,23.1,4.9,0
24.2,4.27,7.8,50.7,19.5,14.8,0
136.7,2.52,100.0,62.9,23.0,16.5,0
12.7,6.04,83.4,77.2,14.8,17.4,0
89.3,3.56,38.9,76.0,17.2,10.0,0
46.1,0.98,63.5,67.0,17.6,16.4,0
21.0,6.14,36.0,49.1,28.8,14.0,0
53.1,0.54,29.6,77.8,28.2,13.9,0
25.0,2.1,32.2,73.0,20.5,15.5,0
31.5,2.94,40.5,17.1,13.9,10.2,0
36.6,3.15,59.0,70.5,37.5,9.7,0
84.5,1.75,60.0,46.3,23.1,16.0,0
29.5,2.7,45.8,60.5,24.7,16.1,0
59.4,4.68,17.9,49.5,35.6,11.5,0
86.8,4.7,58.9,67.4,28.3,15.5,0
52.1,5.42,77.9,69.9,27.7,23.2,0
66.3,1.38,45.6,70.6,28.1,29.5,0
48.4,3.12,48.7,67.6,25.5,13.5,0
73.8,3.36,91.9,68.3,20.9,14.9,0
15.5,0.0,67.5,57.3,28.5,13.3,0
128.6,2.21,31.2,67.3,19.6,12.9,0
27.9,3.51,27.8,76.3,27.5,25.2,0
46.4,2.45,25.4,65.2,27.5,8.6,0
7.0,1.65,57.6,65.4,22.0,10.9,0
32.8,3.23,82.1,50.3,17.3,10.3,0
61.3,4.49,61.4,73.6,21.4,19.0,0
140.4,2.96,30.8,81.2,23.8,18.1,0
76.2,0.0,67.1,78.2,22.1,15.8,0
35.0,4.46,34.1,61.4,30.6,15.4,0
11.6,0.74,99.9,81.4,33.8,14.5,0
118.8,0.88,38.8,66.2,21.1,14.1,0
33.6,3.03,28.6,41.5,30.4,4.2,0
61.2,3.05,56.1,79.0,27.0,16.0,0
35.0,1.66,67.8,49.8,29.8,16.8,0
66.8,3.74,57.3,54.6,24.3,12.6,0
115.2,2.61,56.5,64.7,23.3,18.9,0
83.8,0.32,63.5,71.1,23.3,8.3,0
40.3,1.12,51.7,76.6,18.2,11.4,0
120.7,2.17,58.1,39.3,16.1,17.0,0
161.2,2.67,66.0,72.0,25.3,12.3,0
99.0,1.79,25.5,41.9,27.0,21.4,0
35.9,0.0,45.0,67.1,24.6,19.7,0
89.5,1.55,64.4,64.3,23.7,19.3,0
98.3,3.59,19.6,33.0,25.6,18.0,0
40.9,2.69,57.0,97.8,30.6,17.7,0
161.1,3.98,40.3,34.9,32.3,4.5,0
111.7,3.77,45.0,67.3,32.5,12.6,0
42.6,0.0,50.6,60.5,25.2,11.2,0
35.9,1.6,18.5,61.2,27.3,4.0,0
96.8,3.62,38.7,38.0,22.1,10.1,0
190.1,3.34,76.3,73.0,26.4,11.9,0
16.6,3.33,10.8,100.0,29.8,17.4,0
69.1,4.08,82.3,63.5,24.3,16.6,0
88.3,4.5,38.5,69.0,23.9,13.1,0
114.5,0.0,38.3,63.9,33.9,18.5,0
89.0,1.96,51.9,78.8,22.0,14.5,0
34.0,3.56,78.8,79.5,26.9,9.6,0
14.8,3.76,23.1,44.7,27.7,13.9,0
39.2,5.2,39.4,50.1,27.7,7.5,0
86.9,4.82,64.7,52.8,26.3,21.2,0
31.0,4.3,65.5,66.7,32.4,16.5,0
126.8,1.87,86.1,79.6,26.4,18.7,0
45.3,3.86,28.3,28.1,20.9,13.2,0
29.4,5.56,26.4,71.7,26.0,17.2,0
74.8,4.84,66.6,88.3,22.6,13.2,0
41.7,3.16,36.8,59.8,29.8,16.1,0
35.1,4.76,58.9,63.8,26.6,15.9,0
175.1,2.93,64.2,79.7,26.7,8.0,0
30.9,2.95,17.2,76.5,29.8,15.0,0
38.1,2.26,86.7,59.8,30.3,11.9,0
75.5,0.52,57.1,71.1,19.4,16.8,0
125.5,4.03,38.4,17.7,21.6,20.7,0
70.5,2.45,52.1,70.8,33.7,22.3,0
54.1,2.82,54.1,65.3,23.9,26.5,0
188.6,3.37,55.1,89.2,25.7,12.1,0
36.7,1.74,67.5,89.7,25.0,18.7,0
36.8,3.93,38.7,62.5,26.3,24.3,0
31.3,2.39,53.3,85.2,24.8,21.8,0
67.4,2.45,43.9,53.7,29.9,11.9,0
23.9,0.0,57.0,65.1,21.0,15.0,0
18.7,2.84,53.2,84.2,19.3,14.9,0
38.0,1.21,9.4,68.3,26.5,16.4,0
11.0,2.07,36.8,74.9,28.0,23.4,0
61.2,1.45,14.0,65.2,22.3,20.3,0
67.5,1.55,85.6,55.4,19.5,11.5,0
76.0,2.27,68.5,62.0,25.4,18.6,0
92.2,3.34,24.8,57.2,23.5,18.0,0
38.9,4.85,66.8,57.6,22.3,22.7,0
115.9,2.85,41.0,85.1,24.2,18.1,0
108.2,1.92,53.5,52.6,23.7,13.3,0
21.0,2.13,9.5,46.3,31.3,21.0,0
48.6,4.03,58.2,93.8,28.0,26.6,0
4.0,3.25,58.3,63.3,32.3,13.6,0
117.0,0.72,14.1,83.1,20.2,10.0,0
91.1,1.55,75.7,87.0,24.6,14.8,0
135.3,2.63,73.1,67.9,29.5,18.9,0
12.6,2.26,53.8,79.2,35.3,11.6,0
71.9,1.7,42.1,58.0,25.2,17.8,0
33.0,2.24,44.1,48.7,26.0,13.3,0
6.9,2.95,82.9,69.5,28.5,5.4,0
100.5,3.1,86.5,95.5,25.3,12.5,0
17.0,2.59,39.0,39.4,17.9,14.7,0
65.4,3.91,15.2,75.0,24.5,24.2,0
32.7,3.2,47.2,58.8,17.3,10.6,0
57.4,1.0,75.6,38.4,21.0,12.7,0
93.1,2.02,36.9,64.0,30.2,14.8,0
57.5,2.32,29.2,57.7,25.1,17.4,0
23.5,2.29,87.9,54.3,25.1,14.7,0
177.9,1.34,20.8,64.8,23.8,20.7,0
39.3,1.7,78.1,64.6,16.6,7.9,0
27.7,3.88,50.7,31.0,27.7,27.3,0
47.4,1.04,48.7,91.6,29.8,15.4,0
12.9,2.08,58.8,87.7,25.5,12.5,0
29.9,4.4,48.1,89.1,23.5,10.1,0
41.2,2.42,48.5,65.4,26.8,9.0,0
61.0,6.11,32.5,67.2,33.7,12.9,0
52.5,4.95,42.8,83.4,25.8,13.9,0
72.1,0.0,63.7,91.3,19.0,17.4,0
48.9,0.89,26.1,85.5,28.8,13.0,0
107.4,2.62,67.5,66.0,12.5,13.3,0
81.1,2.05,46.3,68.7,25.8,19.1,0
68.1,3.58,26.0,80.6,17.6,8.8,0
119.5,3.49,47.5,59.6,22.1,17.8,0
119.5,0.25,58.4,70.6,31.0,22.7,0
55.4,4.26,34.3,47.3,20.9,14.2,0
37.8,5.4,78.2,40.8,21.8,11.7,0
59.3,0.46,68.2,58.1,24.3,15.3,0
45.7,1.94,62.7,58.7,31.7,13.3,0
36.6,2.02,45.1,58.6,26.8,10.3,0
57.6,4.38,66.9,65.2,26.0,19.1,0
66.6,4.77,73.1,73.4,21.8,6.2,0
78.4,1.85,37.9,63.9,15.7,11.8,0
132.4,1.81,49.8,72.5,31.4,4.8,0
61.8,4.02,46.8,66.7,24.4,5.9,0
49.7,2.19,45.9,74.7,21.1,8.0,0
98.8,2.84,78.1,50.5,20.9,21.1,0
25.6,3.94,73.9,79.5,23.9,14.9,0
11.2,3.6,70.6,72.9,30.1,21.6,0
71.2,2.94,62.0,52.9,22.8,15.9,0
39.2,0.54,51.0,67.0,23.6,16.0,0
41.6,3.4,46.7,53.6,27.2,8.2,0
25.0,3.99,58.9,85.9,20.0,10.7,0
112.6,3.63,18.8,38.6,20.0,22.3,0
11.7,0.44,67.9,55.3,17.8,17.4,0
76.4,3.73,69.3,77.0,32.2,20.9,0
50.3,1.44,31.6,72.6,17.6,16.3,0
137.9,0.0,23.0,81.3,32.5,13.8,0
99.1,2.27,61.0,45.3,28.6,19.5,0
19.4,0.78,19.4,49.9,26.1,20.1,0
81.1,2.5,56.0,80.8,25.3,9.7,0
69.8,0.63,34.6,79.3,27.7,19.1,0
47.5,2.18,21.7,52.5,13.8,15.1,0
76.8,0.06,64.6,95.7,23.4,15.8,0
29.8,1.49,78.2,65.8,30.8,21.6,0
54.1,3.0,42.2,59.6,24.4,16.6,0
50.9,5.15,66.7,44.2,23.5,11.3,0
26.2,2.08,34.8,74.0,34.3,15.9,0
39.3,2.48,67.9,70.8,24.4,20.0,0
34.1,3.7,40.3,60.3,31.4,15.4,0
66.6,3.11,78.7,57.3,27.5,16.2,0
117.1,3.18,5.1,56.5,26.0,18.5,0
15.6,3.55,39.6,42.4,17.3,18.3,0
68.0,1.93,42.8,80.3,26.0,32.0,0
33.1,1.32,18.6,84.4,32.9,13.1,0
94.9,2.92,64.2,27.0,36.0,13.0,0
67.4,0.0,49.1,63.3,29.4,20.2,0
12.1,0.0,65.6,68.1,19.4,20.4,0
57.6,4.74,35.2,76.1,24.8,11.6,0
45.6,4.2,28.0,58.2,18.9,17.1,0
17.2,1.48,39.0,62.3,24.0,11.4,0
33.5,0.65,25.9,68.7,28.0,21.7,0
55.8,3.31,43.4,67.2,27.1,17.6,0
34.3,3.55,76.8,76.8,19.9,12.4,0
102.5,1.16,55.5,47.3,25.5,9.1,0
45.3,2.31,63.3,46.0,23.4,7.7,0
31.5,0.0,41.1,59.0,25.8,15.2,0
58.1,1.84,31.3,42.2,25.7,20.8,0
63.7,2.15,53.8,100.0,17.3,10.2,0
95.5,2.74,51.0,50.5,30.7,20.8,0
52.5,5.82,71.8,79.3,34.2,18.6,0
61.8,0.73,75.3,87.9,28.9,19.4,0
79.8,4.75,69.1,68.9,18.3,10.3,0
26.1,1.63,91.8,53.3,28.1,16.7,0
91.5,1.48,51.2,67.3,18.1,11.3,0
17.7,4.07,62.7,44.3,33.9,17.6,0
55.3,1.45,74.4,43.2,34.3,18.2,0
56.0,1.16,66.7,95.0,22.7,15.0,0
55.0,3.41,70.0,40.3,19.5,27.5,0
16.3,3.21,51.4,37.8,27.9,16.8,0
2.4,1.71,48.7,75.5,28.2,21.5,0
40.3,5.2,44.1,55.8,26.6,13.5,0
65.1,1.75,46.1,84.1,29.1,15.4,0
128.1,0.11,50.9,12.3,24.3,8.1,0
65.8,0.74,36.6,63.4,18.3,19.8,0
17.4,0.69,27.7,44.8,29.3,13.0,0
42.1,1.94,27.0,34.9,30.8,7.4,0
44.2,4.65,75.6,43.0,17.8,13.8,0
116.2,0.0,41.5,41.2,27.7,15.5,0
67.1,5.05,62.0,60.0,34.6,19.8,0
20.1,1.43,47.0,56.3,25.8,13.1,0
32.0,1.62,76.5,73.5,27.2,20.5,0
85.3,1.29,24.9,35.5,22.3,15.4,0
58.5,1.69,46.5,71.5,29.3,16.0,0
50.1,2.1,39.7,79.5,25.8,9.0,0
41.9,2.27,49.9,81.6,24.6,16.9,0
84.0,2.9,68.2,75.1,25.0,18.1,0
37.0,0.0,48.0,70.2,21.4,17.0,0
30.9,2.26,38.0,54.9,22.9,14.1,0
94.2,3.2,49.9,81.6,28.4,12.2,0
2.3,2.37,43.7,79.9,22.9,1.7,0
19.6,2.07,59.3,60.7,26.2,22.3,0
26.9,1.71,0.0,46.7,21.3,14.4,0
98.6,4.07,43.0,50.0,20.1,13.8,0
56.3,3.19,51.1,42.8,23.4,12.7,0
18.3,2.16,65.7,52.1,28.0,14.8,0
17.0,3.26,68.0,75.4,15.5,23.2,0
100.4,3.87,36.5,79.7,25.8,17.1,0
17.1,0.43,41.6,57.2,26.0,14.5,0
29.9,3.24,16.3,57.6,23.8,7.8,0
36.0,1.22,52.3,54.7,31.9,5.7,0
72.2,4.42,99.8,49.3,36.6,11.3,0
33.5,1.05,53.8,49.4,30.7,19.9,0
14.5,2.45,36.2,86.8,27.1,18.9,0
76.6,2.9,53.4,56.9,25.2,17.8,0
75.5,0.0,9.0,63.7,34.4,14.9,0
137.7,0.0,65.1,23.9,24.6,17.7,0
60.2,1.86,76.3,51.0,23.1,15.5,0
16.4,5.01,45.8,49.8,25.9,21.7,0
133.4,2.21,33.4,74.4,29.5,20.4,0
35.9,3.21,41.3,79.4,21.8,9.8,0
89.1,0.0,42.5,79.8,24.1,17.2,0
130.4,3.75,60.2,42.5,29.8,7.7,0
53.2,3.23,55.3,84.4,33.6,23.4,0
48.5,3.48,48.1,56.0,22.7,10.5,0
60.3,2.56,50.0,49.7,22.4,21.3,0
68.6,0.58,37.0,69.8,25.0,15.5,0
99.2,1.36,62.2,85.3,13.5,9.9,0
43.4,1.13,50.3,69.3,19.6,9.7,0
51.3,3.31,18.7,42.9,25.3,23.8,0
32.6,2.15,64.6,74.8,30.0,16.1,0
32.5,3.74,44.1,85.5,24.2,15.9,0
23.8,3.43,41.8,46.0,19.7,3.4,0
34.5,5.13,86.4,65.9,30.2,23.5,0
21.3,2.66,58.4,61.0,19.6,12.1,0
91.5,2.16,63.4,67.1,14.5,16.8,0
78.4,2.64,38.2,45.8,21.3,7.8,0
46.1,0.0,38.2,48.6,24.8,17.9,0
59.2,1.94,78.5,73.3,25.6,15.5,0
23.9,3.41,99.4,75.9,22.9,17.7,0
48.4,2.05,68.9,73.1,27.3,13.3,0
108.3,2.12,0.0,79.9,20.1,18.1,0
105.9,2.04,35.0,55.6,25.8,7.4,0
139.5,4.87,48.8,91.0,19.2,15.4,0
91.4,2.9,46.9,46.7,20.7,14.3,0
63.0,2.25,46.9,75.6,21.8,22.6,0
88.1,6.12,21.5,72.2,23.1,13.8,0
17.7,0.51,88.5,65.5,17.8,13.6,0
83.6,1.46,61.2,82.0,31.5,14.3,0
93.5,0.86,34.7,82.9,25.8,15.5,0
47.8,1.33,38.4,74.1,20.6,6.5,0
51.8,4.35,62.1,57.9,28.4,14.2,0
40.4,0.97,44.9,94.7,22.7,14.1,0
46.6,2.52,52.6,56.5,24.7,8.8,0
56.6,3.19,58.5,66.5,33.7,21.0,0
61.0,3.51,39.8,80.2,28.0,20.5,0
24.2,1.49,84.6,57.4,22.2,8.2,0
28.2,3.32,3.0,63.7,26.8,20.5,0
78.5,1.79,34.5,35.8,30.2,15.1,0
65.1,2.49,66.3,73.8,25.0,14.7,0
26.0,0.87,36.3,86.4,22.6,13.5,0
45.0,0.51,46.8,72.2,23.6,18.2,0
152.8,3.01,74.9,62.6,31.8,12.7,0
5.1,6.06,59.5,72.8,21.3,10.9,0
2.3,1.99,52.4,87.8,24.5,22.6,0
5.3,2.44,73.4,69.0,28.6,16.6,0
192.4,3.41,38.6,88.4,31.3,18.3,0
19.7,4.08,58.7,69.6,18.6,24.2,0
38.7,4.16,60.3,63.2,25.7,16.6,0
74.0,3.3,26.7,77.0,25.5,17.3,0
70.6,2.24,33.0,72.8,26.3,18.2,0
40.8,3.52,15.8,61.3,27.7,10.9,0
124.5,3.09,55.4,77.2,24.5,13.3,0
85.7,2.41,74.8,66.8,23.9,14.1,0
29.3,3.87,34.0,71.9,19.7,21.8,0
20.6,3.14,2.9,48.3,19.1,22.3,0
55.9,1.45,49.0,74.3,27.3,18.5,0
88.6,0.9,74.0,76.9,17.7,18.0,0
155.1,0.11,42.9,76.4,26.0,11.2,0
62.9,1.09,60.5,74.3,28.6,12.1,0
37.3,2.55,5.7,69.2,28.0,4.6,0
117.2,4.04,61.4,43.5,36.5,18.8,0
106.7,2.33,80.6,72.2,19.5,13.7,0
85.1,2.94,87.0,72.3,24.7,7.5,0
16.9,3.4,69.9,69.0,24.9,17.2,0
38.9,0.68,100.0,45.7,32.2,22.2,0
43.0,1.85,67.4,63.3,27.3,17.2,0
85.2,0.76,48.1,59.0,23.8,17.5,0
7.7,1.99,40.7,59.5,28.5,17.5,0
36.5,2.9,17.2,49.9,24.7,22.6,0
50.7,2.62,37.2,84.7,21.6,17.6,0
41.8,1.27,28.0,70.2,22.0,21.8,0
144.4,3.32,65.9,76.5,24.5,20.0,0
99.9,2.89,26.5,65.4,27.5,2.1,0
99.7,3.14,29.4,66.4,17.4,16.6,0
34.3,2.73,69.2,51.0,28.3,15.1,0
57.0,1.37,39.3,62.3,22.5,22.9,0
23.8,0.68,67.0,69.2,17.3,14.6,0
24.4,3.08,85.2,53.7,30.6,11.4,0
100.5,3.14,31.5,77.5,21.0,27.2,0
89.2,2.62,56.3,77.9,32.5,16.6,0
22.3,5.66,100.0,70.3,29.7,19.0,0
54.3,1.81,63.2,40.3,29.6,10.2,0
11.9,3.02,68.7,75.4,25.5,18.2,0
73.2,2.67,47.6,77.5,28.2,14.1,0
21.8,2.45,53.7,39.4,18.3,9.9,0
54.4,0.9,65.7,78.4,23.9,17.3,0
151.9,2.1,26.5,65.9,27.4,16.7,0
19.3,3.95,23.2,76.7,31.1,14.6,0
64.7,3.38,58.1,100.0,19.7,12.4,0
48.6,3.78,45.3,49.1,23.6,17.2,0
17.8,1.59,23.6,62.8,26.5,18.0,0
27.5,3.89,19.0,70.2,27.5,13.3,0
68.7,0.86,70.7,53.2,26.5,20.7,0
42.5,2.21,49.3,97.4,15.8,13.3,0
127.1,0.97,41.5,36.1,23.4,10.0,0
71.0,5.16,49.6,84.5,25.1,18.1,0
20.7,2.74,50.7,56.6,24.5,14.2,0
91.7,3.92,45.8,60.8,21.7,19.3,0
99.5,3.1,17.1,76.5,24.4,0.0,0
61.5,3.3,57.7,78.1,30.8,12.5,0
75.3,0.93,30.3,82.3,37.8,11.4,0
60.8,2.4,41.9,74.2,19.7,18.8,0
114.6,0.88,59.0,69.9,25.9,12.5,0
105.6,1.8,65.5,47.6,26.6,6.6,0
11.9,2.54,56.4,72.4,29.1,8.6,0
10.6,1.09,52.4,46.9,27.6,6.9,0
43.1,0.55,68.0,83.9,27.1,16.9,0
87.8,0.66,58.6,63.5,26.5,15.3,0
111.8,3.42,31.2,68.7,27.7,12.1,0
37.8,2.0,67.8,62.9,21.4,11.8,0
42.2,0.54,66.5,54.5,27.3,3.8,0
39.6,2.38,53.4,84.9,27.6,19.2,0
47.0,3.54,62.6,59.6,21.6,16.8,0
56.4,2.28,54.9,45.8,26.4,18.8,0
34.5,0.31,0.0,45.9,17.6,13.2,0
39.5,2.18,42.0,53.3,20.4,17.8,0
66.4,1.23,46.8,37.2,20.7,15.9,0
15.8,2.8,46.2,69.1,18.8,22.9,0
161.7,1.87,40.1,66.3,24.1,16.8,0
86.2,2.75,49.4,29.7,24.2,12.8,0
123.4,0.0,65.4,74.0,25.8,12.6,0
23.1,2.52,54.9,57.3,24.2,16.3,0
30.5,2.02,46.5,58.0,32.6,12.0,0
3.6,1.08,11.4,38.9,22.0,8.2,0
51.9,2.5,71.3,86.9,19.4,10.4,0
53.1,1.94,40.6,70.8,16.7,12.6,0
61.6,2.3,84.6,66.0,22.2,20.5,0
9.8,0.93,32.5,47.1,22.4,10.3,0
48.8,2.63,64.3,68.9,30.6,14.1,0
64.1,0.0,47.4,80.6,22.6,14.2,0
71.4,2.1,26.4,73.1,25.0,13.9,0
31.7,2.34,68.8,51.2,24.5,24.1,0
177.6,4.9,17.7,82.2,15.9,16.8,0
41.9,1.98,53.4,65.6,30.5,4.6,0
56.0,4.76,52.4,83.7,21.5,6.4,0
38.1,4.07,35.4,32.7,28.4,17.4,0
32.1,2.18,74.0,32.8,22.1,8.1,0
80.1,2.39,54.6,57.1,22.2,17.6,0
10.3,0.75,85.0,59.8,20.7,16.2,0
83.5,1.49,55.5,78.4,23.3,14.2,0
55.0,2.72,60.9,77.7,28.0,12.1,0
43.7,1.89,7.3,89.5,18.0,16.1,0
16.9,3.7,63.9,64.5,29.2,11.5,0
51.7,3.36,59.0,65.9,29.6,12.7,0
79.4,2.81,39.9,57.7,22.5,11.2,0
56.7,3.4,35.4,75.0,17.9,18.3,0
47.6,3.01,45.6,70.7,26.8,15.0,0
41.3,2.48,67.3,59.0,24.4,14.9,0
35.1,1.34,26.8,67.6,28.0,18.5,0
18.1,5.22,24.1,48.5,16.3,7.0,0
78.4,3.43,66.1,44.3,16.8,9.5,0
59.6,2.99,41.9,72.4,35.3,10.6,0
81.9,1.29,47.1,66.3,29.0,15.6,0
34.6,6.08,47.5,53.7,22.9,7.4,0
43.8,1.4,56.5,77.3,17.2,12.9,0
17.1,2.54,75.0,48.5,19.5,21.7,0
10.9,2.6,28.7,68.7,27.8,11.3,0
53.7,0.46,58.6,71.3,21.1,12.8,0
5.1,3.15,49.5,80.9,16.7,23.6,0
64.4,3.0,56.2,69.2,21.1,8.1,0
30.8,0.89,94.7,71.3,17.6,7.0,0
198.3,3.59,25.4,100.0,21.8,13.1,0
51.0,1.04,62.2,78.4,20.8,16.6,0
75.7,2.01,72.0,54.9,28.4,13.9,0
28.5,1.32,30.0,65.5,28.9,24.9,0
109.3,3.4,45.1,78.8,20.5,14.2,0
115.2,3.25,39.7,56.6,24.0,9.8,0
97.5,0.8,78.1,75.8,26.6,13.1,0
174.3,1.6,50.1,37.6,31.3,6.1,0
19.3,1.62,17.9,71.0,23.0,14.8,0
79.8,3.47,95.5,63.7,16.8,15.2,0
26.1,1.43,83.3,58.6,24.6,19.3,0
20.1,2.31,68.7,46.5,26.9,12.2,0
48.8,2.15,45.8,77.5,25.7,9.2,0
60.0,2.01,28.0,74.8,26.2,17.0,0
46.2,5.08,45.0,62.2,26.9,14.9,0
15.1,1.48,68.6,61.0,27.7,18.9,0
52.7,2.16,46.2,65.0,17.7,7.1,0
49.4,3.04,38.8,48.4,21.2,5.4,0
20.8,1.86,20.5,90.5,22.4,9.4,0
130.2,1.62,31.6,68.5,26.3,10.6,0
163.9,3.01,22.4,38.6,20.1,17.3,0
55.2,3.67,52.4,100.0,19.4,8.4,0
2.5,4.45,66.2,66.0,26.3,17.5,0
49.9,2.2,24.5,79.4,27.0,6.7,0
105.4,1.34,16.7,68.2,30.1,15.1,0
50.7,1.33,50.2,68.4,28.2,24.8,0
45.9,4.6,45.4,53.7,18.3,23.0,0
80.8,2.99,56.8,100.0,28.9,23.6,0
199.9,1.27,20.0,57.0,23.7,12.1,0
64.1,1.48,72.7,56.3,23.0,23.9,0
55.7,0.83,58.3,60.0,24.1,18.0,0
121.4,2.38,72.6,62.1,30.6,16.8,0
70.0,3.22,40.7,63.1,17.3,10.1,0
151.0,4.82,70.3,65.9,21.3,9.5,1
20.4,4.13,38.7,54.4,22.7,8.9,0
20.7,2.55,69.5,70.2,19.9,12.4,0
24.6,1.46,39.3,79.8,18.8,14.9,0
93.0,3.19,11.8,48.5,21.9,17.7,0
64.4,0.0,66.8,98.2,14.0,19.2,0
40.9,1.32,37.7,33.4,26.6,6.9,0
64.7,3.45,69.0,63.3,27.7,11.5,0
102.7,3.81,17.5,58.4,26.5,20.6,0
39.2,4.46,14.5,72.2,23.4,12.6,0
85.4,2.33,41.8,63.9,28.4,14.9,0
35.4,4.44,50.3,50.5,21.2,11.2,0
11.5,1.92,15.2,71.6,27.3,19.6,0
50.8,1.81,37.8,75.2,25.7,12.3,0
10.0,2.96,27.1,66.2,15.9,19.3,0
38.7,4.21,51.8,58.5,25.9,20.5,0
56.1,3.91,94.6,92.3,25.6,1.5,0
24.7,4.05,41.2,100.0,34.5,21.5,0
76.2,3.29,37.2,49.2,21.9,19.8,0
41.7,3.94,52.5,88.1,25.2,22.5,0
77.8,2.54,89.2,82.7,33.3,10.6,0
49.4,2.97,27.8,80.5,26.8,15.7,0
42.8,6.68,50.9,39.2,27.6,14.7,0
24.9,3.82,99.9,67.1,18.8,12.3,0
51.4,2.53,36.2,90.4,23.4,22.5,0
56.4,3.7,39.7,46.2,27.0,19.1,0
65.5,0.92,68.6,72.6,21.4,17.7,0
60.9,2.02,86.1,54.4,28.2,13.2,0
14.9,2.2,88.8,88.6,30.9,25.8,0
99.7,1.42,47.0,92.5,34.4,12.1,0
67.2,5.16,31.1,78.4,32.6,13.4,0
52.4,3.21,37.5,65.2,24.2,11.2,0
65.0,3.38,28.1,63.4,23.5,2.8,0
74.0,2.34,51.5,62.9,24.1,15.8,0
168.7,0.77,63.3,62.3,18.7,17.8,0
31.7,2.41,53.9,63.9,23.9,16.5,0
32.4,1.87,40.2,80.5,22.2,20.7,0
19.3,0.98,68.9,55.0,16.9,5.1,0
7.1,3.64,60.7,79.8,27.2,19.4,0
68.4,2.1,59.7,100.0,17.8,19.0,0
173.3,0.0,66.0,70.0,20.3,17.6,0
40.2,2.5,56.4,76.4,31.0,14.3,0
114.6,2.53,47.7,39.7,24.5,19.7,0
40.7,3.63,25.7,72.0,25.9,20.8,0
110.9,2.68,44.0,61.8,31.1,19.9,0
64.6,1.58,34.5,84.7,29.2,13.6,0
51.7,3.25,85.2,90.0,32.5,21.6,0
32.0,1.53,83.2,70.6,24.7,14.1,0
53.7,3.56,78.7,55.0,31.2,17.3,0
91.7,4.23,41.9,55.0,19.6,24.1,0
28.6,0.0,47.6,38.6,26.3,19.2,0
47.6,1.38,37.2,59.1,15.1,15.6,0
58.8,3.2,26.0,57.1,26.1,13.1,0
89.6,2.64,66.7,86.5,31.1,19.5,0
54.8,4.45,35.3,87.9,24.1,17.6,0
41.0,4.38,44.6,97.5,22.7,21.0,0
61.7,3.89,42.6,54.6,25.9,10.3,0
109.1,0.0,87.9,55.1,15.9,17.2,0
69.8,2.26,51.0,50.7,12.9,17.2,0
48.5,3.46,67.1,92.3,29.9,19.6,0
52.9,2.46,42.9,77.7,27.1,20.5,0
20.4,2.31,36.4,92.4,20.1,17.8,0
84.5,4.36,58.0,72.4,19.8,18.0,0
15.4,3.04,70.8,86.0,28.6,17.4,0
35.9,2.12,39.6,61.2,21.2,8.4,0
44.2,0.72,63.4,67.8,19.0,17.7,0
35.9,5.08,44.6,55.1,27.8,20.1,0
21.3,2.95,16.2,67.1,14.2,6.9,0
29.2,1.8,34.3,55.3,18.9,17.9,0
14.5,3.9,49.4,77.2,31.6,20.3,0
138.7,0.09,54.8,66.4,25.8,18.7,0
32.7,5.13,62.3,72.1,23.9,15.7,0
30.1,3.42,79.8,84.8,26.5,16.3,0
172.7,5.79,50.0,67.3,31.3,8.0,0
10.9,3.45,21.2,61.9,27.2,15.6,0
75.5,2.86,54.3,51.1,23.1,10.9,0
52.1,1.59,41.3,58.4,20.6,14.0,0
21.6,1.84,28.9,51.6,23.0,9.3,0
55.0,0.64,51.1,84.9,19.6,14.0,0
153.7,5.47,63.8,67.5,25.0,13.1,0
75.0,2.7,62.1,83.1,22.0,12.9,0
68.2,3.81,32.6,67.0,38.1,9.7,0
16.8,4.04,73.9,79.5,26.3,20.2,0
25.1,2.16,61.4,68.3,21.3,20.2,0
11.9,1.3,82.7,63.7,28.7,18.2,0
53.4,1.43,91.5,82.6,20.2,14.8,0
51.7,0.18,62.2,62.8,39.2,13.4,0
25.2,0.82,74.0,68.3,20.8,12.8,0
92.0,3.3,60.4,82.9,14.0,12.1,0
15.6,4.03,19.1,36.6,22.1,14.7,0
27.0,2.51,3.1,65.1,31.6,14.2,0
